StudentID,Name,City,Age,Score,JoinedDate,IsActive
S039,Student_39,Delhi,25,51.88,2024-02-08,False
S040,Student_40,Chennai,18,83.34,2024-02-09,True
S041,Student_41,Bengaluru,18,82.39,2024-02-10,True
S042,Student_42,Bengaluru,24,70.94,2024-02-11,True
S043,Student_43,Kolkata,23,60.6,2024-02-12,False
S044,Student_44,Chennai,25,49.17,2024-02-13,True
S045,Student_45,Delhi,24,82.99,2024-02-14,False
S046,Student_46,Chennai,28,48.15,2024-02-15,True
S047,Student_47,Pune,20,76.04,2024-02-16,False
S048,Student_48,Pune,28,57.38,2024-02-17,False
S049,Student_49,Pune,27,47.24,2024-02-18,False
S050,Student_50,Pune,20,53.75,2024-02-19,False
S051,Student_51,Mumbai,24,76.78,2024-02-20,True
S052,Student_52,Delhi,24,51.53,2024-02-21,False
S053,Student_53,Pune,19,73.31,2024-02-22,True
S054,Student_54,Kolkata,27,91.29,2024-02-23,True
S055,Student_55,Kolkata,29,58.68,2024-02-24,False
S056,Student_56,Pune,28,45.46,2024-02-25,False
S057,Student_57,Chennai,27,85.66,2024-02-26,False
S058,Student_58,Hyderabad,27,82.65,2024-02-27,True
S059,Student_59,Mumbai,29,84.29,2024-02-28,False
S060,Student_60,Chennai,27,79.12,2024-02-29,True
S061,Student_61,Bengaluru,27,44.08,2024-03-01,True
S062,Student_62,Delhi,19,44.38,2024-03-02,True
S063,Student_63,Mumbai,20,62.09,2024-03-03,True
S064,Student_64,Pune,20,55.83,2024-03-04,False
S065,Student_65,Kolkata,24,72.71,2024-03-05,True
S066,Student_66,Bengaluru,24,99.93,2024-03-06,False
S067,Student_67,Chennai,29,89.04,2024-03-07,True
S068,Student_68,Hyderabad,19,64.52,2024-03-08,True
S069,Student_69,Hyderabad,28,78.73,2024-03-09,True
S070,Student_70,Pune,21,52.35,2024-03-10,True
S071,Student_71,Mumbai,25,70.38,2024-03-11,False
S072,Student_72,Kolkata,26,84.85,2024-03-12,True
S073,Student_73,Kolkata,29,55.53,2024-03-13,True
S074,Student_74,Pune,19,78.68,2024-03-14,False
S075,Student_75,Delhi,18,41.9,2024-03-15,True
S076,Student_76,Pune,26,44.72,2024-03-16,True
S077,Student_77,Hyderabad,27,44.61,2024-03-17,True
S078,Student_78,Kolkata,26,62.85,2024-03-18,False
S079,Student_79,Kolkata,19,96.05,2024-03-19,False
S080,Student_80,Pune,30,45.54,2024-03-20,True
S081,Student_81,Mumbai,21,40.24,2024-03-21,False
S082,Student_82,Bengaluru,26,48.75,2024-03-22,True
S083,Student_83,Bengaluru,19,86.58,2024-03-23,False
S084,Student_84,Delhi,22,95.21,2024-03-24,True
S085,Student_85,Chennai,25,54.01,2024-03-25,True
S086,Student_86,Bengaluru,20,86.85,2024-03-26,True
S087,Student_87,Kolkata,30,83.96,2024-03-27,False
S088,Student_88,Mumbai,24,71.16,2024-03-28,True
S089,Student_89,Pune,28,83.38,2024-03-29,False
S090,Student_90,Hyderabad,21,94.03,2024-03-30,True
S091,Student_91,Bengaluru,28,97.14,2024-03-31,True
S092,Student_92,Kolkata,29,60.62,2024-04-01,True
S093,Student_93,Chennai,29,70.22,2024-04-02,False
S094,Student_94,Chennai,23,64.09,2024-04-03,True
S095,Student_95,Chennai,30,88.45,2024-04-04,True
S096,Student_96,Bengaluru,22,95.57,2024-04-05,False
S097,Student_97,Bengaluru,26,72.55,2024-04-06,False
S098,Student_98,Delhi,22,49.99,2024-04-07,True
S099,Student_99,Mumbai,29,67.41,2024-04-08,True
S100,Student_100,Hyderabad,23,79.15,2024-04-09,False
